title,MolID,MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nTB,nAB,nH,nC,nN,nO,nS,nF,nCL,nX,nR03,nR04,nR05,nR06,nR09,nR10,nR12,nBnz,ZM1,ZM1V,ZM2,ZM2V,Qindex,SNar,HNar,GNar,Xt,Dz,Ram,Pol,LPRS,VDA,MSD,SMTI,SMTIV,GMTI,GMTIV,Xu,SPI,W,WA,Har,Har2,QW,TI1,TI2,STN,HyDp,RHyDp,w,ww,Rww,D/D,Wap,WhetZ,Whetm,Whetv,Whete,Whetp,J,JhetZ,Jhetm,Jhetv,Jhete,Jhetp,MAXDN,MAXDP,DELS,TIE,S0K,S1K,S2K,S3K,PHI,BLI,PW2,PW3,PW4,PW5,PJI2,CSI,ECC,AECC,DECC,MDDD,UNIP,CENT,VAR,BAC,Lop,ICR,D/Dr03,D/Dr04,D/Dr05,D/Dr06,D/Dr09,D/Dr10,D/Dr12,T(N..N),T(N..O),T(N..S),T(N..F),T(N..Cl),T(O..O),T(O..S),T(O..F),T(O..Cl),T(S..S),T(S..F),T(S..Cl),T(F..F),MWC01,MWC02,MWC03,MWC04,MWC05,MWC06,MWC07,MWC08,MWC09,MWC10,TWC,SRW01,SRW02,SRW03,SRW04,SRW05,SRW06,SRW07,SRW08,SRW09,SRW10,MPC01,MPC02,MPC03,MPC04,MPC05,MPC06,MPC07,MPC08,MPC09,MPC10,piPC01,piPC02,piPC03,piPC04,piPC05,piPC06,piPC07,piPC08,piPC09,piPC10,TPC,piID,PCR,PCD,CID,BID,nCp,nCs,nCt,nCq,nCrs,nCrt,nCrq,nCar,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nArCOOH,nRCOOR,nArCOOR,nRCONH2,nRCONHR,nArCONHR,nRCONR2,nArCONR2,nArOCON,nRCO,nArCO,nCONN,nRNH2,nArNH2,nRNHR,nRNR2,nArNR2,nArCN,nN+,nNq,nROH,nArOH,nOHp,nOHs,nOHt,nROR,nArOR,nSO2N,nCRX3,nArX,nBeta-Lactams,nPyrrolidines,nPyrroles,nPyrazoles,nImidazoles,nThiophenes,nIsoxazoles,nTriazoles,nPyridines,nHDon,nHAcc,C-001,C-002,C-003,C-004,C-005,C-006,C-007,C-008,C-009,C-011,C-012,C-013,C-016,C-017,C-018,C-019,C-024,C-025,C-026,C-027,C-028,C-029,C-033,C-034,C-035,C-038,C-039,C-040,C-041,C-042,C-043,H-046,H-047,H-048,H-049,H-050,H-051,H-052,H-053,H-054,H-055,O-056,O-057,O-058,O-059,O-060,O-062,N-066,N-067,N-068,N-069,N-070,N-071,N-072,N-073,N-074,N-075,N-079,F-083,F-084,Cl-089,S-107,S-110,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,LAI,GVWAI-80,Inflammat-80,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Neoplastic-80,Infective-80,BLTF96,BLTD48,BLTA96,Potential Energy-OPLS3e,Stretch Energy-OPLS3e,Bend Energy-OPLS3e,Torsional Energy-OPLS3e,Improper Torsional Energy-OPLS3e,Van der Waal Energy-OPLS3e,Electrostatic Energy-OPLS3e,RMS Derivative-OPLS3e,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,Jm,Es_o,PSA_o,Es_w,PSA_w,dEs,|dEs|
1,C38H60N6O7,713.04,6.42,63.69,110.76,67.77,125.17,0.57,1,0.61,2.45,111,51,113,53,12,62,0.113,3,4,10,0.088,6,0,6,60,38,6,7,0,0,0,0,0,0,1,1,0,0,0,1,254,640,289,587,28,32.657,1.709,1.897,0.175,112,19,80,300.093,364.157,0.16,37565,58664,37384,90035,42.063,38.612,9286,7.283,103.162,262.899,6979.551,233.197,2.791,6.28,46144,129.845,22480,227117,41.847,584.288,64448,8336.856,8337.465,10863.38,8356.888,11544.85,2.041,2.268,2.268,1.723,2.263,1.618,2.46,7.157,94.94,320.194,277.294,42.413,19.729,13.173,16.407,1.05,0.585,0.315,0.169,0.101,0.636,1418,696,13.647,1.679,51.256,288,3884,250,258,1.207,2.818,0,0,102.737,144.327,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,53,5.541,6.361,7.236,8.083,8.958,9.817,10.691,11.557,12.432,184.677,51,106,0,402,10,1762,98,8314,738,41036,53,74,88,112,135,141,159,184,196,202,4.143,4.57,4.854,5.178,5.558,5.48,5.576,5.883,5.966,6.003,186.727,212.526,1.138,25.799,100.95,51.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,13,8,7,4,0,0,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,12,0,0,6,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,2.714,192.929,186.04,186.04,1.233,1.521,4.438,19.692,1,0,0,0,0,0,0,0,0,-2.44,-2.49,-2.46,-561.45,10.321,75.821,38.97,4.39,45.832,-616.896,0.555,4,0,0,0,6,22,0,-2,712.928,8.462,1007.188,735.94,140.421,130.826,0,2127.392,2.25,12.5,0.0336584,0.0186162,0.7942423,66.107,19.941,32.377,20.073,2.665,-3.75,-5.152,2.761,123.284,-2.246,214.528,-1.534,8.804,-0.346,8,-1.023,1,41.1,0,72.033,13,3,1,11,0,11,4,51,3.704,-119.887,185.257,-96.65,194.918,-23.237,23.237
2,C37H56N6O7,696.99,6.58,61.49,105.99,65.25,122.33,0.58,1,0.62,2.45,106,50,109,53,12,62,0.113,4,7,8,0.073,6,0,6,56,37,6,7,0,0,0,0,0,0,2,1,0,0,0,1,256,646,297,600,31,33.35,1.765,1.948,0.173,110,19,81,292.092,348.84,0.16,36086,56534,36707,88992,41.355,35.342,8721,7.119,103.003,258.685,6396.476,323.737,2.812,7.879,42565,129.406,24419,276322,34.466,489.189,115323,7795.856,7796.451,10252.4,7815.322,10914.84,1.698,1.894,1.893,1.427,1.889,1.338,2.443,7.154,94.751,257.389,272.193,39.781,17.969,10.76,14.296,1.033,0.588,0.329,0.179,0.101,0.8,1389,667,13.34,1.754,46.101,278,3542,244,188,1.105,2.994,0,0,183.8,127.034,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,53,5.549,6.389,7.273,8.137,9.022,9.896,10.783,11.663,12.551,184.263,50,106,0,406,20,1810,196,8710,1476,43896,53,75,94,122,145,157,179,209,228,243,4.143,4.58,4.907,5.244,5.6,5.556,5.663,5.966,6.061,6.121,208.884,237.392,1.136,28.507,99.954,50.161,6,14,3,0,10,0,0,6,4,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,13,6,8,3,0,0,2,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,21,14,0,0,5,0,16,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,2.006,186.944,177.25,177.25,1.058,1.119,3.524,12.419,1,0,0,0,0,0,0,0,0,-2.29,-2.33,-2.29,-370.343,15.35,122.142,82.245,2.242,44.377,-486.34,1.679,3,0,0,0,6,19,0,-2,696.885,6.057,971.359,711.215,146.56,113.584,0,2038.169,2,13.75,0.0180029,0.0200188,0.8003474,64.298,19.018,31.928,22.46,1.549,-2.689,-4.363,2.942,83.716,-2.107,185.592,-1.996,9.047,-0.147,8,-1.381,1,44.514,0,85.837,13,2,1,16,0,16,8,50,14.397,-150.36,184.005,-167.771,190.401,17.411,17.411
3,C38H60N6O7,713.04,6.42,63.69,110.76,67.77,125.17,0.57,1,0.61,2.45,111,51,113,53,12,62,0.113,3,4,10,0.088,6,0,6,60,38,6,7,0,0,0,0,0,0,1,1,0,0,0,1,254,640,289,587,28,32.657,1.709,1.897,0.175,112,19,80,300.093,364.157,0.16,37565,58664,37384,90035,42.063,38.612,9286,7.283,103.162,262.899,6979.551,233.197,2.791,6.28,46144,129.845,22480,227117,41.847,584.288,64448,8336.856,8337.465,10863.38,8356.888,11544.85,2.041,2.268,2.268,1.723,2.263,1.618,2.46,7.157,94.94,320.194,277.294,42.413,19.729,13.173,16.407,1.05,0.585,0.315,0.169,0.101,0.636,1418,696,13.647,1.679,51.256,288,3884,250,258,1.207,2.818,0,0,102.737,144.327,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,53,5.541,6.361,7.236,8.083,8.958,9.817,10.691,11.557,12.432,184.677,51,106,0,402,10,1762,98,8314,738,41036,53,74,88,112,135,141,159,184,196,202,4.143,4.57,4.854,5.178,5.558,5.48,5.576,5.883,5.966,6.003,186.727,212.526,1.138,25.799,100.95,51.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,13,8,7,4,0,0,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,12,0,0,6,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,2.714,192.929,186.04,186.04,1.233,1.521,4.438,19.692,1,0,0,0,0,0,0,0,0,-2.44,-2.49,-2.46,-512.099,12.386,112.828,46.564,1.595,43.925,-588.046,1.406,3,0,0,0,6,22,0,-2,712.928,6.785,987.058,698.248,182.606,106.203,0,2108.907,2.25,12.5,0.0218287,0.0189959,0.8057385,65.132,19.784,32.103,23.239,2.241,-2.022,-5.152,3.065,22.8,-2.638,79.266,-2.399,9.086,-0.144,8,-1.06,1,25.496,0,113.858,13,3,2,11,0,11,4,51,27.063,-141.351,195.222,-149.589,201.253,8.238,8.238
4,C38H60N6O7,713.04,6.42,63.69,110.76,67.77,125.17,0.57,1,0.61,2.45,111,51,113,53,12,62,0.113,3,4,10,0.088,6,0,6,60,38,6,7,0,0,0,0,0,0,1,1,0,0,0,1,254,640,289,587,28,32.657,1.709,1.897,0.175,112,19,80,300.093,364.157,0.16,37565,58664,37384,90035,42.063,38.612,9286,7.283,103.162,262.899,6979.551,233.197,2.791,6.28,46144,129.845,22480,227117,41.847,584.288,64448,8336.856,8337.465,10863.38,8356.888,11544.85,2.041,2.268,2.268,1.723,2.263,1.618,2.46,7.157,94.94,320.194,277.294,42.413,19.729,13.173,16.407,1.05,0.585,0.315,0.169,0.101,0.636,1418,696,13.647,1.679,51.256,288,3884,250,258,1.207,2.818,0,0,102.737,144.327,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,53,5.541,6.361,7.236,8.083,8.958,9.817,10.691,11.557,12.432,184.677,51,106,0,402,10,1762,98,8314,738,41036,53,74,88,112,135,141,159,184,196,202,4.143,4.57,4.854,5.178,5.558,5.48,5.576,5.883,5.966,6.003,186.727,212.526,1.138,25.799,100.95,51.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,13,8,7,4,0,0,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,12,0,0,6,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,2.714,192.929,186.04,186.04,1.233,1.521,4.438,19.692,1,0,0,0,0,0,0,0,0,-2.44,-2.49,-2.46,-529.203,12.147,94.651,58.628,6.474,39.777,-601.171,1.305,3,0,0,0,6,22,0,-2,712.928,8.859,968.141,741.228,131.867,95.046,0,2092.79,2.25,12.5,0.0375034,0.019367,0.817291,64.381,19.099,31.844,19.762,2.49,-3.048,-5.152,3.305,145.548,-2.078,262.518,-1.503,8.903,-0.09,8,-1.09,1,41.365,0,73.165,13,3,1,11,0,11,4,51,20.077,-139.709,175.06,-107.478,190.912,-32.231,32.231
5,C38H60N6O7,713.04,6.42,63.69,110.76,67.77,125.17,0.57,1,0.61,2.45,111,51,113,53,12,62,0.113,3,4,10,0.088,6,0,6,60,38,6,7,0,0,0,0,0,0,1,1,0,0,0,1,254,640,289,587,28,32.657,1.709,1.897,0.175,112,19,80,300.093,364.157,0.16,37565,58664,37384,90035,42.063,38.612,9286,7.283,103.162,262.899,6979.551,233.197,2.791,6.28,46144,129.845,22480,227117,41.847,584.288,64448,8336.856,8337.465,10863.38,8356.888,11544.85,2.041,2.268,2.268,1.723,2.263,1.618,2.46,7.157,94.94,320.194,277.294,42.413,19.729,13.173,16.407,1.05,0.585,0.315,0.169,0.101,0.636,1418,696,13.647,1.679,51.256,288,3884,250,258,1.207,2.818,0,0,102.737,144.327,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,53,5.541,6.361,7.236,8.083,8.958,9.817,10.691,11.557,12.432,184.677,51,106,0,402,10,1762,98,8314,738,41036,53,74,88,112,135,141,159,184,196,202,4.143,4.57,4.854,5.178,5.558,5.48,5.576,5.883,5.966,6.003,186.727,212.526,1.138,25.799,100.95,51.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,13,8,7,4,0,0,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,12,0,0,6,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,2.714,192.929,186.04,186.04,1.233,1.521,4.438,19.692,1,0,0,0,0,0,0,0,0,-2.44,-2.49,-2.46,-477.092,13.783,129.905,14.347,2.083,53.292,-540.675,1.298,4,0,0,0,6,22,0,-2,712.928,11.247,1039.564,749.969,152.018,137.578,0,2146.263,2.25,12.5,0.0589423,0.0180364,0.7740499,66.927,20.488,32.959,20.276,2.691,-4.306,-5.152,2.402,95.705,-2.454,163.162,-1.724,8.85,-0.107,8,-0.993,1,39.279,0,72.033,13,3,1,11,0,11,4,51,0.666,-149.827,171.635,-112.817,193.793,-37.01,37.01
6,C39H62N6O7,727.07,6.38,65.28,113.64,69.53,126.67,0.57,1,0.61,2.44,114,52,116,54,12,63,0.111,3,4,10,0.086,6,0,6,62,39,6,7,0,0,0,0,0,0,1,1,0,0,0,1,260,650,298,599,29,33.063,1.696,1.889,0.174,114,20,84,306.975,371.154,0.157,38989,60521,38759,92210,42.609,40.169,9650,7.278,106.141,272.574,7254.581,237.811,2.787,6.28,47891,133.933,23416,236566,43.145,605.845,66864,8662.857,8663.495,11316.41,8683.935,12032.64,2.08,2.311,2.311,1.752,2.305,1.644,2.46,7.246,96.321,334.376,282.423,43.405,19.897,12.828,16.608,1.052,0.587,0.321,0.173,0.102,0.636,1447,711,13.673,1.673,51.618,297,3856,256,289,1.202,2.807,0,0,105.537,148.195,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,54,5.565,6.392,7.272,8.125,9.005,9.871,10.751,11.623,12.504,187.108,52,108,0,412,10,1824,98,8708,738,43528,54,76,92,117,140,147,164,190,203,208,4.159,4.59,4.892,5.212,5.577,5.508,5.598,5.9,5.986,6.02,188.573,214.147,1.136,25.575,102.768,52.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,13,8,7,4,0,1,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,15,0,0,5,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,1.969,197.826,177.25,177.25,1.406,1.978,4.644,21.562,1,0,0,0,0,0,0,0,0,-2.59,-2.66,-2.64,-315.109,22.162,127.838,53.885,1.369,62.674,-422.912,1.288,7,0,0,0,6,22,0,-2,726.955,15.962,1011.236,759.681,145.262,106.294,0,2145.493,2,13.75,0.1187602,0.0192294,0.7955432,66.598,19.874,34.03,20.607,2.215,-3.426,-4.933,2.899,116.749,-2.293,191.366,-1.71,8.419,-0.376,8,-1.232,1,50.996,0,69.237,13,2,1,11,0,11,4,52,5.31,-160.125,177.189,-101.875,175.586,-58.25,58.25
7,C39H62N6O7,727.07,6.38,65.28,113.64,69.53,126.67,0.57,1,0.61,2.44,114,52,116,54,12,63,0.111,3,4,10,0.086,6,0,6,62,39,6,7,0,0,0,0,0,0,1,1,0,0,0,1,260,650,298,599,29,33.063,1.696,1.889,0.174,114,20,84,306.861,370.385,0.156,38887,60349,38635,91946,42.59,40.173,9630,7.262,106.195,272.796,7243.569,237.45,2.763,6.28,47669,134.022,23400,236483,43.171,605.802,66826,8644.285,8644.921,11292.02,8665.314,12006.64,2.086,2.318,2.318,1.757,2.312,1.649,2.409,7.336,96.341,334.431,284.423,43.405,19.897,12.828,16.608,1.052,0.587,0.321,0.172,0.101,0.636,1441,708,13.615,1.678,51.92,290,4180,256,289,1.202,2.807,0,0,103.86,145.572,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,54,5.565,6.392,7.272,8.126,9.006,9.873,10.754,11.628,12.51,187.126,52,108,0,412,10,1824,98,8708,738,43538,54,76,92,117,141,149,168,194,206,209,4.159,4.59,4.892,5.212,5.585,5.526,5.63,5.945,6.028,6.022,189.166,214.588,1.134,25.422,102.766,52.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,13,8,7,4,0,1,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,15,0,0,5,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,1.969,197.826,177.25,177.25,1.406,1.978,4.644,21.562,1,0,0,0,0,0,0,0,0,-2.59,-2.66,-2.64,-338.571,19.462,117.724,66.085,1.621,37.635,-444.965,2.326,4,0,0,0,6,22,0,-2,726.955,7.648,963.591,717.145,147.946,98.5,0,2111.474,2,13.75,0.0277045,0.0201802,0.8260307,65.162,19.24,32.442,20.728,2.007,-2.498,-4.933,3.43,102.987,-2.208,179.618,-1.787,9.175,-0.032,8,-1.289,1,48.807,0,72.882,13,2,1,11,0,11,4,52,37.727,-136.133,164.441,-94.957,185.458,-41.176,41.176
8,C40H64N6O7,741.1,6.33,66.88,116.53,71.3,128.17,0.57,1,0.61,2.42,117,53,119,55,12,64,0.109,3,4,10,0.084,6,0,6,64,40,6,7,0,0,0,0,0,0,1,1,0,0,0,1,266,660,307,611,30,33.468,1.683,1.88,0.173,116,21,88,313.811,377.698,0.153,40389,62324,40106,94297,43.141,41.7,10009,7.263,109.167,282.501,7531.341,242.311,2.742,6.28,49516,138.1,24389,246588,44.437,626.845,69364,8984.142,8984.811,11763.54,9006.262,12514.25,2.121,2.357,2.357,1.783,2.351,1.673,2.46,7.473,97.568,348.844,289.58,44.397,20.07,12.515,16.813,1.054,0.589,0.328,0.176,0.104,0.636,1470,723,13.642,1.672,51.964,303,3959,262,322,1.197,2.798,0,0,109.35,150.735,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,55,5.587,6.422,7.306,8.167,9.051,9.923,10.809,11.687,12.573,189.526,53,110,0,422,10,1886,98,9102,738,46030,55,78,96,122,146,153,169,195,209,215,4.174,4.61,4.929,5.244,5.6,5.536,5.62,5.913,6.006,6.045,190.444,215.801,1.133,25.357,104.586,53.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,13,8,7,4,0,2,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,18,0,0,4,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,1.273,202.722,168.46,168.46,1.578,2.49,4.849,23.517,1,0,0,0,0,0,0,0,0,-2.73,-2.82,-2.81,-189.43,27.932,99.601,45.579,2.054,74.655,-255.543,1.731,8,0,0,0,6,22,0,-2,740.982,18.187,1040.031,766.224,137.475,136.332,0,2204.746,1.75,15,0.1500202,0.0190794,0.7876944,69.256,20.548,35.695,22.248,2.15,-3.155,-4.703,2.629,120.615,-2.24,229.974,-1.461,8.972,0.062,8,-1.354,1,50.87,0,76.736,13,2,1,11,0,11,4,53,17.963,-183.709,155.432,-111.54,183.709,-72.169,72.169
9,C40H64N6O7,741.1,6.33,66.88,116.53,71.3,128.17,0.57,1,0.61,2.42,117,53,119,55,12,64,0.109,3,4,10,0.084,6,0,6,64,40,6,7,0,0,0,0,0,0,1,1,0,0,0,1,266,660,307,611,30,33.468,1.683,1.88,0.173,116,21,88,313.718,377.057,0.153,40299,62164,39994,94045,43.124,41.715,9992,7.251,109.196,282.648,7521.813,242.004,2.72,6.28,49315,138.15,24370,246448,44.465,627.022,69323,8968.285,8968.952,11743.03,8990.365,12492.45,2.126,2.363,2.363,1.788,2.357,1.677,2.408,7.392,97.722,349.013,291.58,44.397,20.07,12.515,16.813,1.054,0.589,0.327,0.175,0.102,0.636,1464,720,13.585,1.675,52.108,296,4296,262,322,1.197,2.796,0,0,107.673,148.113,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,55,5.587,6.422,7.306,8.167,9.052,9.924,10.811,11.689,12.577,189.534,53,110,0,422,10,1886,98,9102,738,46030,55,78,96,122,146,155,173,200,212,216,4.174,4.61,4.929,5.244,5.603,5.554,5.651,5.96,6.047,6.047,191.035,216.241,1.132,25.206,104.584,53.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,13,8,7,4,0,2,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,18,0,0,4,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,1.273,202.722,168.46,168.46,1.578,2.49,4.849,23.517,1,0,0,0,0,0,0,0,0,-2.73,-2.82,-2.81,-162.595,28.063,97.319,61.707,1.414,78.68,-294.504,0.631,6,0,0,0,6,22,0,-2,740.982,7.557,1026.631,782.912,131.646,112.073,0,2210.62,1.75,15,0.0258322,0.0193284,0.7993925,69.259,20.231,34.005,21.541,2.211,-3.136,-4.703,2.934,153.884,-2.136,263.894,-1.439,9.187,-0.062,8,-1.326,1,53.123,0,70.39,13,2,1,11,0,11,4,53,19.74,-135.275,165.101,-102.503,172.959,-32.772,32.772
10,C40H64N6O7,741.1,6.33,66.88,116.53,71.3,128.17,0.57,1,0.61,2.42,117,53,119,55,12,64,0.109,3,4,10,0.084,6,0,6,64,40,6,7,0,0,0,0,0,0,1,1,0,0,0,1,266,660,307,611,30,33.468,1.683,1.88,0.173,116,21,88,313.789,377.547,0.153,40353,62248,40050,94161,43.133,41.729,10005,7.261,109.182,282.562,7525.049,242.108,2.761,6.28,49482,138.125,24350,246037,44.478,628.145,69278,8980.144,8980.81,11759.55,9002.26,12510.24,2.123,2.36,2.359,1.785,2.353,1.674,2.409,7.382,97.685,348.894,289.58,44.397,20.07,12.515,16.813,1.054,0.589,0.327,0.175,0.102,0.636,1470,723,13.642,1.672,52.023,299,4163,262,322,1.197,2.798,0,0,106.66,149.439,0,0,0,81,249,0,0,0,180,0,0,0,0,0,0,0,55,5.587,6.422,7.306,8.167,9.052,9.924,10.811,11.689,12.577,189.534,53,110,0,422,10,1886,98,9102,738,46030,55,78,96,122,146,155,173,200,213,215,4.174,4.61,4.929,5.244,5.603,5.554,5.651,5.96,6.047,6.039,190.994,216.201,1.132,25.207,104.584,53.155,8,13,4,0,8,0,0,6,4,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,13,8,7,4,0,2,1,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,6,0,0,0,28,18,0,0,4,0,14,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.7,1.273,202.722,168.46,168.46,1.578,2.49,4.849,23.517,1,0,0,0,0,0,0,0,0,-2.73,-2.82,-2.81,-161.984,30.926,101.973,69.793,1.756,83.496,-240.756,1.073,7,0,0,0,6,22,0,-2,740.982,9.578,1058.927,805.306,129.882,123.739,0,2226.492,1.75,15,0.0412026,0.0187389,0.7787174,70.006,20.706,34.361,21.067,2.315,-3.966,-4.703,2.544,186.438,-2.19,275.112,-1.365,8.851,-0.277,8,-1.306,1,55.219,0,62.022,13,2,1,11,0,11,4,53,3.458,-209.171,172.771,-161.63,183.595,-47.541,47.541
