,AECC,ALOGP,AMR,AMW,ARR,BAC,BID,BLI,C-001,C-002,C-003,C-004,C-005,C-006,C-007,C-008,C-009,C-011,C-012,C-013,C-016,C-017,C-018,C-019,C-024,C-025,C-026,C-027,C-028,C-029,C-033,C-034,C-035,C-038,C-039,C-040,C-041,C-042,CENT,CID,CSI,Cl-089,D/D,D/Dr03,D/Dr04,D/Dr05,D/Dr06,D/Dr09,D/Dr10,D/Dr12,DECC,DELS,Dz,ECC,Es_o,Es_w,F-083,F-084,GMTI,GMTIV,GNar,H-046,H-047,H-048,H-049,H-050,H-051,H-052,H-053,H-054,H-055,HNar,Har,Har2,Hy,HyDp,ICR,J,JhetZ,Jhete,Jhetm,Jhetp,Jhetv,LPRS,Lop,MAXDN,MAXDP,MDDD,MLOGP,MPC01,MPC02,MPC03,MPC04,MPC05,MPC06,MPC07,MPC08,MPC09,MPC10,MSD,MW,MWC01,MWC02,MWC03,MWC04,MWC05,MWC06,MWC07,MWC08,MWC09,MWC10,Me,Mp,Ms,Mv,N-067,N-068,N-069,N-070,N-071,N-072,N-073,N-074,N-075,NAcc,NDon,NumAcc,NumDon,NumHbonds_oct,O-056,O-057,O-058,O-059,O-060,OAcc,ODon,PCD,PCR,PHI,PJI2,PSA_o,PSA_w,PW2,PW3,PW4,PW5,Pol,QW,Qindex,RBF,RBN,RHyDp,Ram,Rww,S-107,S-110,S0K,S1K,S2K,S3K,SCBO,SMTI,SMTIV,SNar,SPI,SRW01,SRW02,SRW03,SRW04,SRW05,SRW06,SRW07,SRW08,SRW09,SRW10,STN,Se,Sp,Ss,Sv,T(F..F),T(N..Cl),T(N..F),T(N..N),T(N..O),T(N..S),T(O..Cl),T(O..F),T(O..O),T(O..S),T(S..Cl),T(S..F),T(S..S),TI1,TI2,TIE,TPC,TPSA(Tot),TWC,UNIP,Ui,UnsatAcc_octanol,UnsatAcc_water,UnsatDon_octanol,UnsatDon_water,VAR,VDA,W,WA,Wap,WhetZ,Whete,Whetm,Whetp,Whetv,Xt,Xu,ZM1,ZM1V,ZM2,ZM2V,dEs,dHB_w-o,nAB,nAT,nArCN,nArCO,nArCONHR,nArCONR2,nArCOOH,nArNH2,nArNR2,nArOCON,nArOH,nArOR,nArX,nBM,nBO,nBT,nBnz,nC,nCIC,nCIR,nCL,nCONN,nCRX3,nCar,nCb-,nCbH,nCconj,nCp,nCq,nCrq,nCrs,nCrt,nCs,nCt,nDB,nF,nH,nHAcc,nHDon,nImidazoles,nIsoxazoles,nN,nO,nOHp,nOHs,nOHt,nPyrazoles,nPyridines,nPyrrolidines,nR03,nR04,nR05,nR06,nR09,nR10,nR12,nR=Cs,nR=Ct,nRCO,nRCONHR,nRCONR2,nRCOOR,nRNHR,nRNR2,nROH,nROR,nS,nSK,nSO2N,nTB,nThiophenes,nTriazoles,nX,piID,piPC01,piPC02,piPC03,piPC04,piPC05,piPC06,piPC07,piPC08,piPC09,piPC10,set,title,w,ww,|dEs|
0,11.125,1.084,146.241,6.44,0,258,40.177,1.064,6,6,3,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2256,77.466,867,0,398.394,0,0,0,0,0,0,0,1.106,82.709,89.5,445,-365.97,-330.171,0,0,17697,49959,1.795,22,12,0,0,3,4,7,0,0,0,1.6,76.958,183.742,0.806,20796,2.508,3.515,3.869,3.859,3.869,2.734,2.915,219.156,1.328,3.216,6.636,30.39,0.468,40,55,65,78,89,86,89,94,93,88,0.174,566.81,40,5.252,6.066,6.934,7.778,8.648,9.504,10.375,11.237,12.109,1,0.6,2.66,0.56,0,0,0,0,0,5,0,0,0,5,3,12,3,2,0,0,6,0,0,7,0,5.555,1.044,15.001,0.75,178.19,184.133,0.581,0.324,0.17,0.1,65,3760.118,18,0.091,8,96.189,15,36.879,0,0,206.877,35.689,16.813,11.227,46,18746,31862,23.411,32.695,40,80,0,300,0,1310,0,6188,0,30730,2.833,88.3,52.58,106.33,49.4,0,0,0,51,188,0,0,0,151,0,0,0,0,0,2.422,386.39,125.676,168.05,157.904,186,2.807,8,8,1,1,133,242.4,4848,6.215,15522,4394.714,4405.497,4395.07,6166.834,5793.485,0.207,34.583,190,558,215,466,-35.799,0,0,88,0,0,0,0,0,0,0,0,0,0,0,6,40,88,0,28,1,1,0,0,0,0,0,0,0,6,0,0,6,0,10,3,6,0,48,12,3,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,40,0,0,0,0,0,131.231,3.85,4.22,4.419,4.625,4.852,4.736,4.745,4.868,4.82,4.771,1,10,10753,85958,35.799
1,11.317,1.405,150.996,6.38,0,259,41.173,1.075,6,7,3,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2519,79.47,904,0,423.031,0,0,0,0,0,0,0,1.185,82.814,91.5,464,-420.605,-352.339,0,0,19060,53474,1.8,22,12,0,0,3,4,9,0,0,0,1.608,78.781,189.575,0.789,22841,2.546,3.525,3.868,3.858,3.868,2.757,2.935,226.577,1.447,3.048,6.691,33.294,0.663,41,56,66,78,90,88,93,96,98,99,0.173,580.84,41,5.273,6.084,6.948,7.789,8.656,9.511,10.378,11.24,12.109,1,0.6,2.63,0.56,0,0,0,0,0,5,0,0,0,5,3,12,3,3,0,0,6,0,0,7,0,5.885,1.045,15.731,0.75,188.244,185.107,0.58,0.322,0.165,0.098,66,4083.765,18,0.099,9,98.512,15,38.773,0,0,213.66,36.688,17.58,11.818,47,20168,34134,24.104,33.335,41,82,0,306,0,1330,0,6250,0,30882,2.833,91.18,54.34,107.83,51,0,0,0,51,198,0,0,0,161,0,0,0,0,0,2.444,402.841,130.065,168.05,159.989,193,2.807,9,8,1,1,140,254.439,5216,6.361,16547,4744.571,4755.855,4744.941,6596.037,6205.764,0.204,35.34,194,562,219,470,-68.266,1,0,91,0,0,0,0,0,0,0,0,0,0,0,6,41,91,0,29,1,1,0,0,0,0,0,0,0,6,0,0,6,0,11,3,6,0,50,12,3,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,41,0,0,0,0,0,135.95,3.871,4.234,4.431,4.615,4.836,4.754,4.804,4.852,4.86,4.913,1,11,11424,92550,68.266
2,11.463,1.322,157.973,5.94,0,231,41.172,1.145,6,8,3,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2554,79.639,916,0,423.873,0,0,0,0,0,0,0,1.304,69.337,90,470,-352.497,-290.001,0,0,19216,41891,1.813,24,14,0,0,6,2,11,0,0,0,1.629,78.456,188.821,2.928,23207,2.624,3.503,3.826,3.816,3.825,2.751,2.926,226.841,1.576,2.18,6.849,34.308,-2.84,41,55,66,78,89,87,92,96,96,98,0.175,581.93,41,5.263,6.075,6.934,7.777,8.641,9.497,10.364,11.226,12.095,0.99,0.59,2.39,0.55,0,0,0,0,0,5,0,0,0,5,4,10,4,3,0,0,5,0,0,5,0,4.79,1.036,16.891,0.75,164.306,157.296,0.572,0.325,0.168,0.098,66,4121.765,17,0.102,10,98.055,14,38.483,0,0,215.66,37.168,18.633,12.11,46,20320,30303,24.391,32.206,41,82,0,302,0,1306,0,6134,0,30352,2.833,97.28,57.72,98.17,53.77,0,0,0,95,170,0,0,0,71,0,0,0,0,0,2.458,370.546,131.829,155.56,159.873,194,2.585,4,7,1,2,175,256.293,5254,6.407,16620,4811.857,4823.134,4812.193,6606.022,6224.093,0.202,35.403,192,470,217,420,-62.496,2,0,98,0,0,0,0,0,0,0,0,0,0,0,5,41,98,0,30,1,1,0,0,0,0,0,0,0,7,0,0,6,0,12,3,5,0,57,10,6,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,41,0,0,0,0,0,136.619,3.85,4.19,4.419,4.605,4.812,4.7,4.754,4.828,4.779,4.844,1,12,11462,93219,62.496
3,11,1.518,144.027,6.2,0,222,38.181,1.086,6,5,3,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1882,73.622,815,0,355.878,0,0,0,0,0,0,0,1.105,71.85,84.5,418,-109.989,-78.316,0,0,15591,39328,1.799,22,14,0,0,4,2,7,0,0,0,1.606,72.596,170.183,1.501,18019,2.529,3.417,3.759,3.749,3.759,2.643,2.82,205.316,1.3,2.617,6.582,27.188,0.257,38,52,63,74,83,78,81,82,79,82,0.179,539.81,38,5.198,6.019,6.884,7.731,8.599,9.457,10.325,11.188,12.057,1,0.59,2.54,0.55,0,0,0,0,0,5,0,0,0,5,3,11,4,3,1,0,5,0,0,6,1,4.873,1.04,14.652,0.75,156.535,157.709,0.579,0.336,0.174,0.099,63,3266.823,17,0.08,7,90.463,14,33.044,0,0,195.421,34.171,16.294,10.335,43,16518,26504,22.312,30.534,38,76,0,284,0,1246,0,5916,0,29486,2.833,86.91,51.51,96.67,48.19,0,0,0,51,149,0,0,0,106,0,0,0,0,0,2.492,335.516,121.172,148.15,153.46,175,2.585,8,9,1,3,123,224.526,4266,6.068,13766,3872.125,3881.843,3872.439,5458.729,5123.771,0.212,33.231,180,482,205,416,-31.673,3,0,87,0,0,0,0,0,0,0,0,0,0,0,5,38,87,0,27,1,1,0,0,0,0,0,0,0,7,0,0,6,0,9,3,5,0,49,11,4,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,38,0,0,0,0,0,126.045,3.784,4.143,4.382,4.564,4.754,4.595,4.635,4.691,4.605,4.691,1,13,9565,75299,31.673
4,11.333,1.855,159.729,6.34,0.116,188,42.175,1.056,6,6,3,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,2790,82.41,953,0,430.444,0,0,97.849,0,0,0,0,1.175,71.085,92.5,476,-146.458,-90.697,0,0,21433,52689,1.865,22,12,0,2,4,4,7,0,0,0,1.68,82.337,198.105,1.438,24235,2.536,2.491,2.759,2.752,2.759,1.97,2.098,233.412,1.196,2.343,6.962,34.034,0.776,43,59,72,87,97,98,107,116,121,122,0.17,589.88,43,5.323,6.146,7.013,7.861,8.731,9.59,10.46,11.325,12.196,1,0.6,2.42,0.57,0,0,0,0,0,5,1,0,1,7,4,12,4,3,0,0,5,0,0,5,0,16.4,1.116,14.475,0.75,166.568,158.979,0.58,0.332,0.173,0.096,67,4255.412,21,0.085,8,102.875,15,35.694,0,0,222.477,35.753,17.004,10.659,50.5,21970,34737,26.183,31.284,42,86,0,322,10,1406,84,6634,522,32876,4.443,92.79,56.06,101.83,52.67,0,0,0,124,205,0,0,0,71,0,0,0,0,86.974,2.469,261.732,141.481,156.6,163.645,196,3.459,7,8,1,2,149,262.429,5511,6.401,21688,4963.066,4975.166,4963.423,6883.924,6474.716,0.195,36.022,204,532,233,484,-55.761,0,5,93,0,0,0,0,0,0,0,0,0,0,0,10,43,94,0,30,2,2,0,0,0,3,0,0,0,6,0,0,6,0,10,3,5,0,51,11,4,1,0,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,42,0,0,0,0,0,157.881,3.942,4.347,4.648,4.931,5.036,5.047,5.219,5.404,5.452,5.488,1,14,12338,103273,55.761
5,11.357,2.858,162.582,6.02,0,290,42.171,1.103,9,5,3,0,2,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2824,81.241,929,0,447.729,0,0,0,0,0,0,0,1.201,72.596,92.5,477,-103.132,-82.39,0,0,20275,46556,1.787,22,14,0,0,3,2,16,0,0,0,1.59,81.221,196.757,0.748,24563,2.549,3.564,3.942,3.931,3.941,2.677,2.866,233.684,1.433,2.414,6.907,34.998,1.034,42,59,67,79,92,91,97,100,104,106,0.171,595.93,42,5.313,6.12,6.995,7.831,8.705,9.554,10.428,11.285,12.158,0.99,0.59,2.41,0.55,0,0,0,0,0,5,0,0,0,5,3,11,3,2,0,0,5,1,0,6,0,4.554,1.034,15.849,0.75,133.496,140.556,0.588,0.317,0.159,0.095,67,4372.412,20,0.091,9,101.688,16,41.262,0,0,217.722,38.168,17.44,12.734,47,21450,32804,24.391,34.966,42,84,0,320,0,1410,0,6672,0,33024,2.833,98.45,58.55,101.42,54.58,0,0,0,51,149,0,0,0,106,0,0,0,0,0,2.52,391.152,132.411,137.15,162.39,197,2.585,9,7,1,1,149,264.238,5549,6.445,17502,5011.053,5023.777,5011.615,7341.397,6866.342,0.202,36.014,202,512,227,454,-20.742,1,0,99,0,0,0,0,0,0,0,0,0,0,0,5,42,99,0,31,1,1,0,0,0,0,0,0,0,9,0,0,6,0,9,4,5,0,57,11,3,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,42,0,0,0,0,0,136.965,3.871,4.248,4.431,4.615,4.836,4.754,4.804,4.852,4.86,4.913,1,20,12060,98516,20.742
6,12.543,2.117,170.734,6.54,0.106,258,46.162,1.03,6,6,3,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,4250,90.15,1151,0,534.524,0,0,112.158,0,0,0,0,1.63,84.223,102.5,577,-111.665,-77.788,0,0,27709,75080,1.853,22,15,0,1,4,4,7,0,0,0,1.663,90.778,224.367,1.406,34332,2.959,2.518,2.828,2.821,2.828,2.001,2.132,263.514,1.26,2.509,7.145,44.112,0.74,47,65,80,96,109,112,122,136,148,155,0.169,647.92,47,5.416,6.244,7.114,7.967,8.839,9.701,10.574,11.442,12.316,1,0.6,2.51,0.57,0,0,0,0,0,5,1,0,1,7,4,14,4,3,0,0,6,0,1,7,0,22.12,1.14,15.845,1,190.765,182.316,0.582,0.337,0.172,0.096,75,5625.6,23,0.1,10,113.795,17,43.31,0,0,250.084,39.374,18.511,11.447,55.5,28482,47285,28.38,36.046,46,94,0,354,10,1558,98,7394,720,36764,4.443,99.33,59.73,115.67,56.29,0,0,0,124,315,0,0,0,181,0,0,0,0,105.087,3.211,316.893,157.979,182.9,172.614,220,3.585,8,7,2,0,244,312.391,7185,6.942,30874,6369.475,6385.144,6370.016,8982.994,8434.948,0.188,38.902,224,628,257,563,-33.877,2,5,99,0,0,0,0,0,0,0,0,0,0,0,11,47,100,0,32,2,2,0,0,0,3,0,0,1,6,0,0,6,0,10,3,6,0,53,13,4,1,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,46,0,0,0,0,0,180.1,4.034,4.457,4.795,5.1,5.304,5.392,5.48,5.711,5.855,5.923,1,23,15404,135890,33.877
7,11.105,-4.209,128.917,7.31,0,202,38.176,0.953,2,6,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1994,73.83,823,0,362.162,0,0,0,0,0,0,0,1.133,92.835,88,422,-211.192,-209.772,0,0,16059,59395,1.813,8,6,0,0,11,8,3,0,0,0,1.629,71.277,166.962,7.581,18863,2.539,3.328,3.695,3.685,3.695,2.596,2.77,206.274,1.351,2.976,6.046,29.839,-3.334,38,51,57,68,78,76,82,86,84,81,0.184,540.66,38,5.187,5.979,6.832,7.652,8.505,9.338,10.19,11.029,11.881,1.02,0.6,3.03,0.57,0,0,0,0,0,8,0,0,0,8,8,16,8,2,0,0,8,0,0,8,0,7.724,1.064,14.068,0.75,319.199,321.185,0.575,0.307,0.16,0.095,57,3393.294,16,0.108,8,88.513,13,34.177,0,0,199.421,33.119,16.141,12.01,46,16976,32954,22.6,29.799,38,76,0,280,0,1186,0,5400,0,25736,2.833,75.8,44.34,115,42.41,0,0,0,186,406,0,0,0,222,0,0,0,0,0,2.429,358.572,121.513,274.77,152.593,178,3.17,11,14,5,7,123,230.474,4379,6.229,13933,3920.285,3930.229,3920.615,5558.233,5213.407,0.21,33.408,178,598,197,490,-1.42,-1,0,74,0,0,0,0,0,0,0,0,0,0,0,8,38,74,0,22,1,1,0,0,0,0,0,0,0,2,0,0,6,0,10,1,8,0,36,16,11,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,38,0,0,0,0,0,129.238,3.85,4.22,4.317,4.543,4.828,4.691,4.736,4.875,4.852,4.771,1,46,9631,76732,1.42
8,10.514,-5.508,115.32,7.67,0,163,35.184,0.911,1,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1679,67.975,718,0,297.662,0,0,0,0,0,0,0,1.042,88.53,82,368,-244.119,-218.31,0,0,13062,53294,1.812,0,6,0,0,11,8,5,0,0,0,1.628,64.67,147.235,7.801,14722,2.179,3.2,3.579,3.569,3.578,2.473,2.645,185.564,1.284,2.969,5.769,24.998,-4.003,35,47,51,60,69,67,71,74,74,68,0.191,498.57,35,5.106,5.889,6.737,7.548,8.395,9.219,10.064,10.895,11.74,1.03,0.6,3.15,0.58,0,0,0,0,0,8,0,0,0,8,8,16,8,4,0,0,8,0,0,8,0,8.315,1.072,12.463,0.5,317.506,319.669,0.578,0.299,0.153,0.092,51,2736.235,15,0.092,6,79.862,12,28.671,0,0,177.525,30.122,14.481,11.377,43,13808,28138,20.808,27.109,35,70,0,258,0,1084,0,4874,0,22880,2.833,67.15,39.06,110.17,37.62,0,0,0,186,406,0,0,0,222,0,0,0,0,0,2.338,303.867,115.223,274.77,145.592,155,3.17,13,12,7,6,105,202.971,3552,5.97,11579,3149.429,3157.912,3149.715,4556.029,4260.512,0.219,31.311,164,584,180,473,-25.809,4,0,65,0,0,0,0,0,0,0,0,0,0,0,8,35,65,0,19,1,1,0,0,0,0,0,0,0,1,0,0,6,0,9,0,8,0,30,16,11,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,123.538,3.784,4.159,4.234,4.431,4.727,4.595,4.615,4.754,4.762,4.615,1,47,8087,63877,25.809
9,11.081,-3.788,127.468,7.13,0,177,37.178,0.977,2,6,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1801,71.996,800,0,341.19,0,0,0,0,0,0,0,1.132,87.793,85.5,410,-171.257,-189.007,0,0,15052,53701,1.822,8,8,0,0,10,6,3,2,0,0,1.644,69.015,160.224,6.677,17530,2.545,3.277,3.633,3.623,3.633,2.542,2.714,199.414,1.362,2.831,6.028,28.425,-2.966,37,49,56,66,75,73,78,81,77,78,0.187,527.66,37,5.153,5.948,6.797,7.619,8.469,9.303,10.153,10.992,11.842,1.02,0.6,2.97,0.57,0,0,0,0,0,7,0,0,0,7,7,15,8,4,1,0,7,0,0,8,1,7,1.059,14.291,0.75,282.826,267.363,0.569,0.313,0.165,0.096,56,3158.471,15,0.108,8,85.559,12,32.105,0,0,192.75,32.445,16.298,11.559,44,15910,30333,22.194,28.16,37,74,0,270,0,1142,0,5206,0,24844,2.833,75.59,44.1,109.83,42.02,0,0,0,134,348,0,0,0,222,0,0,0,0,0,2.456,337.527,119.226,251.91,150.276,173,3,9,10,4,5,118,221.676,4101,6.158,13104,3679.643,3688.984,3679.965,5239.835,4912.806,0.212,32.729,172,566,191,460,17.75,3,0,74,0,0,0,0,0,0,0,0,0,0,0,7,37,74,0,22,1,1,0,0,0,0,0,0,0,3,0,0,6,0,10,1,7,0,37,15,10,0,0,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,37,0,0,0,0,0,126.225,3.807,4.159,4.29,4.5,4.762,4.615,4.663,4.779,4.682,4.718,1,48,9072,71744,17.75
